baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000105492	1058.68590239117	3.34492598325533	0.892494078157991	3.74784109510159	0.000178363189728498	0.00541427015853502
ENSG00000105717	288.889843985527	3.31756542737592	0.836716446853007	3.96498173288417	7.34015679824929e-05	0.00254509955594527
ENSG00000105967	7212.06517861877	5.40974359809144	1.27120001774635	4.25561951114673	2.08470971556236e-05	0.000844791658330821
ENSG00000105996	28.0500598063944	18.0778265764608	2.37641778196668	7.60717526759959	2.80151286799118e-14	4.90615221351816e-12
ENSG00000106034	137.480500932242	3.81305459921004	0.91190635386185	4.18141027646322	2.89706570894602e-05	0.00111925331142358
ENSG00000107518	119.30087186319	4.01208250564804	1.10431993949313	3.63307983688997	0.000280058317752216	0.00795905966729566
ENSG00000107863	4117.85981321412	2.11009504611954	0.562738692780276	3.74968892878926	0.000177054063125812	0.00538439273806827
ENSG00000109861	5215.72226416158	1.3983530460934	0.312486959868505	4.47491647869668	7.64411878062204e-06	0.000343343156287343
ENSG00000110811	49.4409537768164	5.25556719590859	1.31784418502042	3.98800347996159	6.66316865333356e-05	0.00234968845234788
ENSG00000111291	21.3310064870973	5.72208937241431	1.36069275157796	4.20527658854547	2.60763062873461e-05	0.0010207230785972
ENSG00000111664	192.33142749122	6.54648291459866	1.10876703460447	5.90429072139037	3.54167137232587e-09	3.26109229582939e-07
ENSG00000112319	18.305400982591	18.885951695024	2.22231109028316	8.49833840887576	1.92323738784271e-17	4.82965704031896e-15
ENSG00000112812	332.065333320966	4.81324652888494	0.971195414989824	4.95600211306123	7.19584335305377e-07	4.18469851696538e-05
ENSG00000113645	260.17718988235	4.31822359817953	1.09021268865571	3.96090014646971	7.46677542299436e-05	0.00257285521539935
ENSG00000114107	1833.18712693123	1.60966221487657	0.430839206230163	3.73610895108896	0.000186889718921522	0.00561143152428497
ENSG00000115129	855.981826818139	2.13408392155526	0.557424048974506	3.82847479487356	0.000128939832886405	0.00414960930147434
ENSG00000115705	8.88730741064043	37.4710393255076	3.57827997972881	10.4718019656884	1.16405727333422e-25	6.89038758865763e-23
ENSG00000116017	2749.25228427532	2.02980633891192	0.420678158205305	4.82508135808968	1.39946128605477e-06	7.65500704787848e-05
